item_id,restaurant_id,item_name,item_description,category,is_veg,spice_level,price,popularity_score,historical_attach_rate,normalized_category,dish_subtype,meal_time_suitability,confidence,source
37,2,Veg Fried Rice,,main,1,medium,271.0,0.7095,0.01,main,other,lunch|dinner,1.0,original
38,2,Cold Coffee (Mild),,beverage,1,mild,90.0,1.0,0.543,beverage,coffee,breakfast|lunch|dinner|late-night,0.82,rule
39,2,Iced Lemon Tea,,beverage,1,mild,127.0,1.0,0.509,beverage,other,breakfast|lunch|dinner|late-night,0.82,rule
40,2,Fried Ice Cream (Mild),served warm with ice cream,dessert,1,mild,102.0,0.5127,0.278,dessert,other,lunch|dinner,1.0,original
41,2,"Honey Chilly Ice Cream,",sweet and indulgent,dessert,1,mild,113.0,0.7095,0.326,dessert,other,lunch|dinner,1.0,original
42,2,Iced Lemon Tea,,beverage,1,mild,90.0,1.0,0.577,beverage,other,breakfast|lunch|dinner|late-night,0.82,rule
43,2,Soft Drink (Mild),house special blend,beverage,1,mild,70.0,0.3476,0.467,beverage,other,lunch|dinner,1.0,original
44,2,Chicken Soup,,side,0,medium,95.0,1.0,0.25,main,unknown,lunch|dinner,0.0,fallback
45,2,Toffee Apple (Mild),,dessert,0,mild,147.0,0.6489,0.264,dessert,other,lunch|dinner,1.0,original
46,2,Chicken Spring Rolls (Fiery),,main,0,spicy,326.0,0.4052,0.113,main,other,lunch|dinner,1.0,original
47,2,Veg Noodles - Must Try,,main,1,medium,258.0,0.4094,0.01,main,other,lunch|dinner,1.0,original
48,2,Green Tea,,beverage,1,mild,87.0,1.0,0.6,beverage,other,breakfast|lunch|dinner|late-night,0.82,rule
49,2,Chicken Spring Rolls (Medium),best paired with naan or rice,main,0,medium,351.0,1.0,0.118,main,unknown,lunch|dinner,0.0,fallback
50,2,Veg Spring Rolls,,main,1,mild,365.0,0.8068,0.152,main,other,lunch|dinner,1.0,original
51,2,Veg Soup (Medium),,side,1,medium,126.0,0.4352,0.308,side,other,lunch|dinner,1.0,original
52,2,Chicken Schezwan Rice - Extra Hot,,main,0,spicy,217.0,0.3461,0.201,main,other,lunch|dinner,1.0,original
53,2,Prawn Crackers (Medium),,side,0,medium,113.0,1.0,0.265,main,unknown,lunch|dinner,0.0,fallback
54,2,Traditional Veg Dim Sum (Fiery),,main,1,spicy,273.0,0.6065,0.183,main,other,lunch|dinner,1.0,original
55,2,Prawn Crackers (Medium) (Full),"warm & soft, straight from tandoor",side,0,medium,101.0,0.5296,0.171,side,other,lunch|dinner,1.0,original
56,2,Veg Noodles,,main,1,mild,333.0,1.0,0.143,main,noodles,dinner|late-night,0.82,rule
57,2,Veg Spring Rolls (Mild),,main,1,mild,381.0,1.0,0.032,main,unknown,lunch|dinner,0.0,fallback
58,2,Cold Coffee (Mild),sweet or salted – your choice,beverage,1,mild,103.0,0.8068,0.463,beverage,other,lunch|dinner,1.0,original
59,2,Tofu Stir Fry (Medium),,unknown,1,medium,318.0,1.0,0.034,main,other,lunch|dinner,0.82,rule
60,2,Chicken Soup (Medium),,side,0,medium,137.0,0.8068,0.153,side,other,lunch|dinner,1.0,original
61,3,Soy Sauce,steamed & fluffy,unknown,1,mild,24.0,0.8068,0.144,main,unknown,lunch|dinner,0.0,fallback
62,3,Chilli Chicken (Medium),,main,0,medium,69.0,1.0,0.064,main,unknown,lunch|dinner,0.0,fallback
63,3,Prawn Crackers (Medium),,side,0,medium,24.0,0.6065,0.247,side,other,lunch|dinner,1.0,original
64,3,Veg Manchurian (Spicy),house recipe  with secret spices,main,1,spicy,77.0,1.0,0.24,main,other,lunch|dinner,0.82,rule
65,3,Prawn Crackers (Medium),"freshly baked , goes well with curry",side,0,medium,24.0,0.8068,0.179,side,other,lunch|dinner,1.0,original
66,3,Chilli Paneer,,main,1,mild,62.0,0.8068,0.125,main,other,lunch|dinner,1.0,original
67,3,Lychee Juice (Mild),,unknown,1,mild,20.0,1.0,0.633,beverage,juice,breakfast|lunch|dinner|late-night,0.82,rule
68,3,Veg Spring Rolls,"creamy flavor, chef recommended",main,1,medium,43.0,1.0,0.124,main,unknown,lunch|dinner,0.0,fallback
69,3,Steamed Rice (Fiery),,side,1,spicy,27.0,0.2383,0.248,side,other,lunch|dinner,1.0,original
70,3,Date Pancake,,dessert,1,mild,41.0,0.6489,0.286,dessert,other,lunch|dinner,1.0,original
71,3,"Kung Pao Chiken (Medium),",,main,0,medium,81.0,1.0,0.136,main,unknown,lunch|dinner,0.0,fallback
72,3,Veg Dim Sum - Full Plate,,main,1,spicy,59.0,1.0,0.265,main,unknown,lunch|dinner,0.0,fallback
73,3,Toffee Apple (Mild),sweet and indulgent,dessert,0,mild,22.0,1.0,0.191,main,unknown,lunch|dinner,0.0,fallback
74,3,Veg Spring Rolls (Medium),,main,1,medium,51.0,0.6065,0.221,main,other,lunch|dinner,1.0,original
75,3,Steamed Rice,,side,0,mild,26.0,1.0,0.177,main,unknown,lunch|dinner,0.0,fallback
76,3,Honey Chilli Ice Cream,,dessert,1,mild,32.0,1.0,0.272,dessert,ice cream,lunch|dinner,0.82,rule
77,3,Toffee Apple,creamy and delicious,dessert,1,mild,38.0,1.0,0.295,main,unknown,lunch|dinner,0.0,fallback
78,3,Mushroom Fried Rice (Fiery) 6 pcs,,main,1,spicy,73.0,0.4352,0.313,main,other,lunch|dinner,1.0,original
79,3,Green Tea (Mild),,beverage,1,mild,17.0,0.6489,0.46,beverage,other,lunch|dinner,1.0,original
80,3,Momos,crispy and light,side,1,medium,35.0,0.5498,0.236,side,other,lunch|dinner,1.0,original
81,3,Chicken Soup - Half Plate,,side,0,mild,36.0,0.7095,0.185,side,other,lunch|dinner,1.0,original
82,3,Chicken Soup,,side,0,mild,24.0,0.8068,0.232,side,other,lunch|dinner,1.0,original
83,3,Toffee Apple (Medium) - Chef's Specail,,dessert,0,medium,40.0,0.7095,0.268,dessert,other,lunch|dinner,1.0,original
84,3,Date Pancake - Authentic,creamy and delicious,dessert,1,mild,38.0,0.2536,0.293,dessert,other,lunch|dinner,1.0,original
85,3,Iced Lemon Tea (Mild),,beverage,1,mild,16.0,0.6489,0.516,beverage,other,lunch|dinner,1.0,original
86,3,Chicken Soup,,side,0,mild,29.0,0.7095,0.207,side,other,lunch|dinner,1.0,original
87,3,Pork Dim Sum - Extra Hot,,main,0,spicy,76.0,1.0,0.183,main,unknown,lunch|dinner,0.0,fallback
88,3,Fish Manchurian,,main,0,mild,49.0,0.3631,0.105,main,other,lunch|dinner,1.0,original
89,3,Chilli Paneer (Spicy),,unknown,1,spicy,59.0,0.8068,0.241,main,unknown,lunch|dinner,0.0,fallback
90,3,Veg Spring Rolls - Extra Hot - Authentic,,main,1,spicy,77.0,0.8068,0.328,main,other,lunch|dinner,1.0,original
91,4,Ragda Pattice (Fiery) 500ml,,main,1,spicy,114.0,0.8068,0.229,main,other,lunch|dinner,1.0,original
92,4,Pav Bhaji (Mild),,main,1,mild,205.0,0.6489,0.074,main,other,lunch|dinner,1.0,original
93,4,Chicken Frankie,,main,0,medium,208.0,0.6489,0.065,main,other,lunch|dinner,1.0,original
94,4,Vada Pav,,main,1,mild,143.0,0.6489,0.057,main,other,lunch|dinner,1.0,original
95,4,Papdi Chaat (Spicy),,main,1,spicy,143.0,0.3791,0.194,main,other,lunch|dinner,1.0,original
96,4,Nimbu Pani - Half Plate,,beverage,1,mild,71.0,1.0,0.514,beverage,other,breakfast|lunch|dinner|late-night,0.82,rule
97,4,Aam Panna (Mild),,beverage,1,mild,67.0,0.5747,0.611,beverage,other,lunch|dinner,1.0,original
98,4,Rabri (Mild),served warm with ice cream,dessert,1,mild,72.0,1.0,0.3,dessert,other,lunch|dinner,0.82,rule
99,4,Samosa Chaat (Mild),,main,1,mild,129.0,0.5296,0.086,main,other,lunch|dinner,1.0,original
100,4,Chicken Frankie (Mild),,main,0,mild,123.0,1.0,0.108,main,other,lunch|dinner|late-night,0.82,rule
101,4,Sev Puri - Extra Hot,,main,1,spicy,150.0,0.8068,0.274,main,other,lunch|dinner,1.0,original
102,4,Masala Papad (Mild),,side,1,mild,49.0,0.7095,0.155,side,other,lunch|dinner,1.0,original
103,4,Nimbu Pani,,beverage,1,mild,55.0,0.7095,0.543,beverage,other,lunch|dinner,1.0,original
104,4,Rabri,"freshly made , limited qty",dessert,0,mild,63.0,1.0,0.388,dessert,other,lunch|dinner,0.82,rule
105,4,Matka Kulfi (Mild),rich herby dessert,dessert,1,mild,73.0,1.0,0.239,dessert,kulfi,lunch|dinner,0.82,rule
106,4,Dabeli (Mild),freshly prepared with aromatic spices,main,1,mild,129.0,0.2386,0.059,main,other,lunch|dinner,1.0,original
107,4,Ragda Pattice (Spicy),"generous portion , served fresh!!",main,1,spicy,120.0,0.7095,0.253,main,other,lunch|dinner,1.0,original
108,4,Aam Panna,,beverage,1,mild,65.0,1.0,0.524,main,unknown,lunch|dinner,0.0,fallback
109,4,Tamarind Chutney,,side,1,medium,76.0,0.3235,0.176,side,other,lunch|dinner,1.0,original
110,4,House Special Egg Kathi Roll (Mild),slow cooked with rich spices,main,0,mild,177.0,1.0,0.111,main,roll,lunch|dinner|late-night,0.82,rule
111,4,Rabri (Mild),,dessert,1,mild,82.0,0.8068,0.255,dessert,other,lunch|dinner,1.0,original
112,4,Chicken Tikka Roll,,main,0,medium,190.0,1.0,0.129,main,tikka,lunch|dinner|late-night,0.82,rule
113,4,Sugarcane Juice (Mild),,beverage,1,mild,69.0,0.7095,0.66,beverage,other,lunch|dinner,1.0,original
114,4,Tamarind Chutney (Fiery),,side,0,spicy,76.0,1.0,0.129,side,chutney,lunch|dinner,0.82,rule
115,4,Chicken Kathi Roll (Spicy),made fresh to order,main,0,spicy,144.0,1.0,0.167,main,roll,lunch|dinner|late-night,0.82,rule
116,4,Vada Pav,,unknown,1,spicy,156.0,0.4052,0.318,main,unknown,lunch|dinner,0.0,fallback
117,4,Faluda,rich mild dessert,dessert,1,mild,102.0,0.7095,0.267,dessert,other,lunch|dinner,1.0,original
118,4,Tamarind Chutney (Medium),,side,1,medium,94.0,0.6065,0.191,side,other,lunch|dinner,1.0,original
119,4,Tamarind Chutney (Medium) 6 pcs,crunchy with a hint of zesty,side,1,medium,79.0,0.5498,0.126,side,other,lunch|dinner,1.0,original
120,4,Masala Soda 4 pcs,,beverage,1,medium,43.0,0.7095,0.626,beverage,other,lunch|dinner,1.0,original
121,5,Chicken Noodles,"creamy and delicious, must try!!",main,0,medium,189.0,0.8068,0.138,main,other,lunch|dinner,1.0,original
122,5,Chicken Noodles,,main,0,medium,126.0,0.8068,0.112,main,other,lunch|dinner,1.0,original
123,5,Veg Spring Rolls,,main,1,mild,125.0,1.0,0.099,main,unknown,lunch|dinner,0.0,fallback
124,5,Traditional Soy Sauce,crunchy with a hint of creamy,side,1,medium,90.0,0.7095,0.171,side,other,lunch|dinner,1.0,original
125,5,Spring Roll (Medium),,side,1,medium,51.0,1.0,0.189,main,unknown,lunch|dinner,0.0,fallback
126,5,Veg Manchurian,,main,1,mild,153.0,1.0,0.129,main,other,lunch|dinner,0.82,rule
127,5,Veg Hakka Noodles (Fiery) - Traditional,"creamy and delicious, must try!!",main,1,spicy,188.0,0.6489,0.167,main,other,lunch|dinner,1.0,original
128,5,Veg Manchurian,,main,1,spicy,170.0,0.1362,0.297,main,other,lunch|dinner,1.0,original
129,5,Today's Specail Fried Ice Cream (Medium),melt in the mouth,dessert,0,medium,100.0,1.0,0.375,dessert,ice cream,lunch|dinner,0.82,rule
130,5,Fried Ice Cream,,dessert,1,mild,76.0,1.0,0.342,dessert,ice cream,lunch|dinner,0.82,rule
131,5,Chilli Paneer (Mild),best paired with naan or rice,main,1,mild,105.0,0.8068,0.123,main,other,lunch|dinner,1.0,original
132,5,Mushroom Fried Rice,,main,1,mild,106.0,0.6065,0.145,main,other,lunch|dinner,1.0,original
133,5,Soft Drink (Medium),,beverage,1,medium,71.0,0.8068,0.722,beverage,other,lunch|dinner,1.0,original
134,5,Veg Soup,light and easy on the stomach,side,1,mild,86.0,0.4237,0.168,side,other,lunch|dinner,1.0,original
135,5,Corn Soup - Extra Hot,,main,1,spicy,140.0,1.0,0.269,main,unknown,lunch|dinner,0.0,fallback
136,5,Steamed Rice (Mild),,unknown,1,mild,48.0,0.6489,0.129,beverage,rice,lunch,0.82,rule
137,5,Momos,,side,1,mild,68.0,0.4352,0.213,side,other,lunch|dinner,1.0,original
138,5,Veg Hakka Noodles,,main,1,medium,115.0,0.6065,0.114,main,other,lunch|dinner,1.0,original
139,5,Veg Soup (Mild),,side,1,mild,59.0,0.4983,0.233,side,other,lunch|dinner,1.0,original
140,5,Corn Soup,slow cooked with zesty spices,main,1,medium,173.0,0.5498,0.038,main,other,lunch|dinner,1.0,original
141,5,Fried Ice Cream (Medium),,dessert,0,medium,97.0,1.0,0.286,dessert,ice cream,lunch|dinner,0.82,rule
142,5,Signature Steamed Rice - Extra Hot,,side,1,spicy,69.0,0.3611,0.222,side,other,lunch|dinner,1.0,original
143,5,Veg Soup (Fiery),,side,1,spicy,66.0,1.0,0.222,main,unknown,lunch|dinner,0.0,fallback
144,5,Date Pancake (Medium),served warm with ice cream,unknown,0,medium,98.0,0.3847,0.3,dessert,cake,lunch|dinner,0.82,rule
145,5,Soy Sauce - Extra Hot,,side,1,spicy,50.0,0.4186,0.215,side,other,lunch|dinner,1.0,original
146,5,Prawn Crackers - Extra Hot,,side,1,spicy,56.0,0.2736,0.205,side,other,lunch|dinner,1.0,original
147,5,Prawn Crackers - Extra Hot,,side,0,spicy,94.0,1.0,0.164,main,unknown,lunch|dinner,0.0,fallback
148,5,Prawn Crackers (Medium),,side,1,medium,80.0,0.3491,0.191,side,other,lunch|dinner,1.0,original
149,5,Chicken Soup,,side,0,medium,62.0,0.8068,0.131,side,other,lunch|dinner,1.0,original
150,5,Veg Schezwan Rice (Mild),,main,1,mild,172.0,0.8068,0.088,main,other,lunch|dinner,1.0,original
151,6,Puri (Mild),,side,1,mild,259.0,0.5296,0.18,side,other,lunch|dinner,1.0,original
152,6,Chana Masala (Spicy),,main,1,spicy,549.0,0.2708,0.175,main,other,lunch|dinner,1.0,original
153,6,Shahi Paneer,"smoky flavor, chef recommended",main,1,mild,396.0,1.0,0.095,main,unknown,lunch|dinner,0.0,fallback
154,6,Mutton Curry,,main,0,medium,438.0,0.8068,0.08,main,other,lunch|dinner,1.0,original
155,6,Palak Paneer (Medium) - Half Plate,,main,1,medium,371.0,0.4352,0.154,main,other,lunch|dinner,1.0,original
156,6,Egg Curry (Medium),,main,0,medium,331.0,0.8068,0.159,main,other,lunch|dinner,1.0,original
157,6,Customer Favourite Chicken Korma (Spicy),,main,0,spicy,622.0,1.0,0.104,main,unknown,lunch|dinner,0.0,fallback
158,6,Rasmali (Medium) 4 pcs,,dessert,1,medium,267.0,1.0,0.285,main,unknown,lunch|dinner,0.0,fallback
159,6,Cold Coffee (Mild),,beverage,1,mild,177.0,0.5498,0.544,beverage,other,lunch|dinner,1.0,original
160,6,Mutton Curry (Spicy),,main,0,spicy,416.0,0.6065,0.224,main,other,lunch|dinner,1.0,original
161,6,Masala Chai (Mild),,beverage,0,mild,178.0,0.8068,0.542,beverage,other,lunch|dinner,1.0,original
162,6,Jeera Rice (Mild),,side,1,mild,220.0,0.1701,0.168,side,other,lunch|dinner,1.0,original
163,6,Veg Kofta,,main,1,mild,614.0,1.0,0.142,main,unknown,lunch|dinner,0.0,fallback
164,6,Malpua,,dessert,1,mild,242.0,0.8068,0.327,dessert,other,lunch|dinner,1.0,original
165,6,Mutton Curry (Mild),,main,0,mild,513.0,0.8068,0.167,main,other,lunch|dinner,1.0,original
166,6,Green Salad - Extra Hot,,side,1,spicy,218.0,0.3026,0.171,side,other,lunch|dinner,1.0,original
167,6,Garlic Naan,,side,0,mild,195.0,1.0,0.133,side,naan,lunch|dinner,0.82,rule
168,6,Nimbu Pani (Mild),,beverage,1,mild,113.0,1.0,0.604,beverage,other,breakfast|lunch|dinner|late-night,0.82,rule
169,6,Tandoori Roti (Medium),,side,1,medium,229.0,0.5498,0.212,side,other,lunch|dinner,1.0,original
170,6,Raita (Medium),,side,1,medium,243.0,0.2333,0.168,side,other,lunch|dinner,1.0,original
171,6,Paneer Butter Masala (Mild),,main,1,mild,476.0,0.3791,0.069,main,other,lunch|dinner,1.0,original
172,6,Chicken Do Pyaza (Medium),,unknown,0,medium,532.0,0.2447,0.028,main,unknown,lunch|dinner,0.0,fallback
173,6,Jeera Rice,perfect accompaniment,side,0,medium,160.0,1.0,0.189,side,rice,lunch,0.82,rule
174,6,Egg Curry (Mild),,main,0,mild,403.0,0.4566,0.083,main,other,lunch|dinner,1.0,original
175,6,Jeera Rice (Spicy),,side,0,spicy,269.0,0.6489,0.108,side,other,lunch|dinner,1.0,original
176,6,Palak Paneer,,main,1,medium,624.0,1.0,0.027,main,unknown,lunch|dinner,0.0,fallback
177,6,Masala Chai,,beverage,1,medium,120.0,0.3819,0.539,beverage,other,lunch|dinner,1.0,original
178,6,Tandoori Roti,perfect accompaniment,side,1,mild,174.0,0.5747,0.233,side,other,lunch|dinner,1.0,original
179,6,Kheer,,dessert,1,mild,273.0,1.0,0.206,dessert,kheer,lunch|dinner,0.82,rule
180,6,Dal Makhani (Spicy) - Must Try,,main,1,spicy,382.0,0.8068,0.188,main,other,lunch|dinner,1.0,original
181,7,Chicken Frankie,,main,0,medium,79.0,0.4749,0.123,main,other,lunch|dinner,1.0,original
182,7,Green Chutney (Medium),,side,0,medium,23.0,1.0,0.286,side,chutney,lunch|dinner,0.82,rule
183,7,Chicken Tikka Roll,best paired with naan or rice,main,0,mild,80.0,0.2401,0.099,main,other,lunch|dinner,1.0,original
184,7,Tamarind Chutney,,side,0,medium,35.0,0.4983,0.183,side,other,lunch|dinner,1.0,original
185,7,Tamarind Chutney - Extra Hot,,side,1,spicy,24.0,0.7095,0.234,side,other,lunch|dinner,1.0,original
186,7,Egg Bhurji Pav (Mild),,main,0,mild,65.0,0.4983,0.082,main,other,lunch|dinner,1.0,original
187,7,Tamarind Chutney (Mild),,side,1,mild,28.0,0.3026,0.121,side,other,lunch|dinner,1.0,original
188,7,Tamarind Chutney (Mild),,side,0,mild,32.0,1.0,0.185,side,chutney,lunch|dinner,0.82,rule
189,7,Ragda Pattice,,main,1,mild,57.0,0.5747,0.141,main,other,lunch|dinner,1.0,original
190,7,Egg Kathi Roll (Medium),,main,0,medium,59.0,1.0,0.148,main,roll,lunch|dinner|late-night,0.82,rule
191,7,Chole Bhature,,main,1,medium,67.0,1.0,0.058,main,other,lunch,0.82,rule
192,7,Faluda,,dessert,1,mild,31.0,1.0,0.188,dessert,other,lunch|dinner,0.82,rule
193,7,Lassi Kulfi,,dessert,1,mild,38.0,1.0,0.287,main,unknown,lunch|dinner,0.0,fallback
194,7,"Bhel Puri,",,main,1,mild,54.0,0.5296,0.117,main,other,lunch|dinner,1.0,original
195,7,Mutton Seekh Kebab,,main,0,medium,58.0,1.0,0.151,main,kebab,lunch|dinner|late-night,0.82,rule
196,7,Pani Puri (Fiery),,main,1,spicy,80.0,0.3146,0.307,main,other,lunch|dinner,1.0,original
197,7,Egg Kathi Roll,,main,0,medium,51.0,0.2626,0.185,main,other,lunch|dinner,1.0,original
198,7,Sev,,side,1,medium,26.0,0.8068,0.202,side,other,lunch|dinner,1.0,original
199,7,Chicken Frankie (Spicy),,main,0,spicy,51.0,0.4983,0.237,main,other,lunch|dinner,1.0,original
200,7,Jaljeera (Mild),,beverage,1,mild,18.0,0.6065,0.485,beverage,other,lunch|dinner,1.0,original
